Project ID,Project Name,Owner,City/State,Unit,Tenant,Tenant SF,Tenant Category,Original Category,Main Mix Group,Size Bucket,Is Grocery,Is Available,Is Anchor by SF,Explicit Anchor,0-10K Store,Manual Check Notes,TJ Address,PDF File,PDF Path,Site Plan Image Path
120000,Wellington Green,Kimco,,22,The Joint Chiropractic,1492,Medical,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,23,My Community Pharmacy,2984,Pharmacy,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,24,Massage Envy of Wellington,2984,Personal Service,,Service,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,25,Anthony Vince Nails Spa,3995,Beauty,,Soft Goods,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,26,Available (Former Medical),1530,Vacancy,,Vacancy,0-3k,FALSE,TRUE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,27,Relive,1530,Other,,Other,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,28,Moe's Southwest Grill,2040,Restaurant,,Food,0-3k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
120000,Wellington Green,Kimco,,29,TooJay's Original Gourmet Deli,4675,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,120000-wellington-green-commons-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,1,Red Heat Tavern,6014,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,2,AFC Urgent Care,4045,Medical,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,3,Lincoln Liquors,8000,Wine / Liquor,,Food,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,4,Marshalls,44790,Apparel,,Soft Goods,10k+,FALSE,FALSE,TRUE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,5,Whole Foods Market,40175,Grocery,,Food,10k+,TRUE,FALSE,TRUE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,6,Learning Express,7500,Other,,Other,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,7,Verizon Wireless,2625,Telecom,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,8,Hand & Stone Massage and [...],3148,Personal Service,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,9,Emerson Dental,3145,Medical,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,10,Available,4075,Vacancy,,Vacancy,3k-10k,FALSE,TRUE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,11,Brookline Bank,2280,Financial,,Service,0-3k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
125500,Bedford Marketplace,Kimco,,12,Cambridge Savings Bank,3050,Financial,,Service,3k-10k,FALSE,FALSE,FALSE,,,,,125500-bedford-marketplace-marketing-package.pdf,,
